full_name
Kevin Sanjaya 
kevin anggara
Kevin Julio Chandra
Kevin Liliana
Karin Novilda
Kesha Ratuliu
Kabul Basuki (Tessy)
Kimberly Ryder
Kintan Mary
Kelly Tandiono
Kevin Joanito Gea
Kesha Ratuliu
karina Nadila
Keshya Valerie
Kris Monte
Kevin Hillers
Kiara Leswara
Kadir
Kamila Andini
Kimo Stamboel
Kinaryosih
Kaditha Ayu
Keira Shabira
Kia Poetri
Kirana Larasari
Kezia Karamoy
Kevin Hendrawan
Krisna Pratiwi
Kahiyang Ayu
Kiki Farrel
Karina Salim
Kamasean Mathews
Krisdayanti
Kezia Roslin Cikita Warouw
Kimberley Fransa Salim
Kerenina Sunny Halim
Laudya Cynthia Bella
Laura Basuki
Laura Theux
Leon Dozan
Lia Waode
Lian Firman
Lidya Kandou
Lies Hartono
Liliyana Natsir
Lionil Hendrik
Lucinta Luna
Lukman Sardi
Lulu Tobing
Luna Maya
Larissa Chou
Linka Angelia
Lulu Elhasbu
Lindswell Kwok
Liem Swie King
Lucky Perdana
Luthfi Aulia
Luhut Pandjaitan
Luthfi Hasan
Lukman Hakim Saifuddin
Lalu Muhammad Zohri
Lea Simanjuntak
Laela Rachmawati
Lucky Hakim
Linda Kayhz
Lizzie Parra
Lily Zhen
Lola Amaria
Livi Zheng
Lala Karmela
Lana Nitibaskara
Lolita Agustine
Luthya Sury
Leony Vitria Hartanti
Kresna Julio
Louise Anastasya 
Lula Lahfah
Lutesha
Lifia Laeticia
Lee jeong Hoon
Limbad
Mahfud MD
Maia Estianty
Manohara Odelia Pinot
Maudy Ayunda
Marcel Chandrawinata
Marcelino Refrand
Marcell Siahaan
Marcella Zalianty
Marcell Darwin
Marcello Tahitoe
Maria Simorangkir
Mario Ginanjar
Mario Irwinsyah
Mario Latawata
Mario Teguh
Marion Jola
Marissa Anita
Marsha Aruan
Marsha Tengker
Marsha Timothy
Marshanda
Maudy Koesnaedi
Maya Septa
Megan Domani
Meidian Maladi
Melly goeslaw
Meriam Belina
Merry Riana
Michael Prabawa Mohede
Michella Putri
Michelle Joan
Michelle Ziudith
Millen Cyrus
Mike Lewis
Mikha Tambayong 
Monita Tahalea
Morgan Oey
Muhammad Attamimi Halilintar
Muhammad Azis
Muhammad Devirzha
Muhammad Ihsan Tarore
Muhammad Tulus
Mulan Jameela
Muhammad Sulaeman Harsono (Bolot)
Mandra Naih
Muhammad Rinko Safinka
Muhammad Reza Anugrah
Melanie Ricardo
Maria Selena
M Pradana Budiarto (ditto) 
muhammad Alphiandi
Mega Iskanti
Megawati Soekarnoputri
Muhammad Putra Setia
Munira Agile
Muhammad Al Jufri
Muhammad Fajar Nugraha
Muhadkly Acho
Marcel Chandrawinata
Misha Chandrawinata
Marco Ivanos
Mark Sungkar
Maxime Bouttier
Medina Zein
Mira Lesmana
M Rian Ardianto
Melody Nurramdhani Laksani
Mathias Muchus
Mamiek Prakoso
Mikhayla zalindra Bakrie
Miller Ali (Miller Khan)
Muhadjir Effendy
Mentari Novel
Mayang Naomi
Muhammad Romahurmuziy
Mona Ratuliu
Mat Solar
Mikha Angelo
Muhammad Arsy Widianto
Mytha Lestari
Misellia Ikwan
Meisandria Guitara
Mamat Alkatiri
Meutya Hafid
Mayfree Syari
Mandala Shoji
Marthino Lio
Maruli Tampubolon
Melvin Lim
Miqdad Addausy
Mudy Taylor
Muhadkly Acho
Masayu Clara
Zainul Majdi (Tuan Guru Bajang)
Mawar Eva De Jongh
Marzuki Mohammad
Mieke Amalia
Marcella Febrianne H
Mouly Surya
Marini Zumarnis
Mat Drajat
Maria Calista
Monita Lin
Marissa Nasution
Meisya Siregar
Michael Tjandra
Marsha Natika
Martina Tesela
Masayu Anastasia
Meitha Thamrin
Melanie Putria
Melayu Nicole
Melayu Prima
Metha Yunatria
Metta Permadi
Meyda Sefira
Michella Adlen
Moonella Sunshine Jo
Merry Inggriany
Muhammad Rizky Billar
Marsson Starlight Jo
Maizura
Manoj Punjabi
Mayesa Hafsah Kirana
Mada Emmanuel Brahmantyo
Mentari De Marelle
Malvin Saputra
Maria Harfanti
Nabila Syakieb
Nabilah Ratna Ayu Azalia
Nadila Ernesta
Nadine Chandrawinata
Nafa Urbach
Nagita Slavina
Najwa Shihab
Nana Mirdad
Naomi Zaskia
Narova Morina
Nassar Fahad
Nasreen judge
Natasha Ryder
Naysila Mirdad
Nia Daniaty
Nia Ramadhani
Nia Zulkarnaen
Nicholas Saputra
Nicky Astria
Nicky Tirta
Nikita Mirzani
Nikita Willy
Nina Zatulini
Nino Fernandez
Nirina Zubir
Novita Angie
Nycta Gina
Nowela Elizabeth Auparay 
Natasha Rizky
Natasha Wilona
Nasrullah (Mat Solar)
Nani Widjaja
Nuri Maulida
Nurul Arifin
Nury Zhafira
Nycta Gina
Nabila Gardena
Nisma Bahanan
Nisya Saadia Ifat
Nadiem Makariem
Nina Zatulini
Nimaz Dewantary
Nila Moeloek
Novel Baswedan
Neno Warisman
Nora Alexandra
Nitya Shamdasani
Nabiela Piguna
Nadiya Rawil
Nadia Soekarno
Naufal Samudra
Nabila Putri
Natasha Farani
Nia Dinata
Nessie Judge
Nadya Aqilla
Nadya Hutagalung
Naya Anindita
Nanda Arsyinta
Nadira Adnan
Natasha Vinski
Niluh Djelantik
Nasya Marcella
Natasha Chairani
Nastusha Oliva Alinskie 
Nashwa Zahira
Niko Al Hakim
Nabila Hatifa
Nadya Fricella
Nikki Frazetta
Nella Kharisma
Oka Antara
Okan Cornelius
Oki Setiana Dewi
Okky Lukman
Olivia Zalianty
Olla Ramlan
Onadio Leonardo
Once Mekel
