full_name,instagram_username
Widi Mulia,widimulia
Widy Soediro N,_widikidiw_
Wijaya Saputra,jaysforeal
Wiranto,explore/tags/wiranto
Wulan Guritno,wulanguritno
Wilson Simon Maiseka ,p/BpbpjpMlAlC
Wilda Octaviana Situngkir,situngkirwilda
Wishnutama,wishnutama
Wewey Wita,w2y_wita
Wildan Delta (Kiwil),kiwil.ks82
Widyawati,phandya
Winda Viska,winda.viska
Whulandary Herman,whulandary
WIlliam Tanuwijaya,williamtan82
Wirda Mansyur,wirda_mansur
Wafda Saifan,wafda90
Winky Wiryawan,winkywiryawan912
Willy Dozan,willydozan777
Wanda  Hamidah,explore/tags/wandahamidah
Yama Carlos,yamacarlos7
Yasmine Wildblood,yaswildblood
Yayan Ruhian,yayanruhian
Yeslin Wang,yeslinwang
Young Lex,young_lex18
Yovie Widianto,ywpiano
Yuanita Christiani,yuanitachrist
Yura Yunita,yurayunita
Yusril Ihza Mahendra,yusrilihzamhd
Yusuf Mansyur,yusufmansurnew
Yuni Shara,yunishara36
Yuki Kato,yukikt
Yasonna Laoly,yasonna.laoly
Yoga Saputra (olga) ,makvhera
Yoriko Angeline,yorikooangln_
Yeshua Abraham,yeshua_abraham
Yoga Arizona,yogaarizona
Yenny Wahid,yennywahid
Yasa Paramita Singgih,yasasinggih
Yandy Laurens,yndlaurens
Yafi Tesa ,Not Found
Yadi Timo,t_orasudi_ro/p/BGI-tpPwGJw
Yayu Unru,yayuunru
Yoga Pratama,yoga.prtm
Yogi Finanda,Not Found
Yogie Tan,yogie.tan
Yusuf Mahardika,mahardikayusuf
Yoshi Sudarso,yoshi_sudarso
Yosi Mokalu,Not Found
Yasmin Safira Napper,Not Found
Yuka Tamada,p/-Dj7ROIZb1
Zack Lee,zackleelife77
Zaskia Adya Mecca,zaskiadyamecca
Zaskia Sungkar ,zaskiasungkar15
Zee zee Shahab,zeezeeshahab
Zumi Zola,gmpzo
Zahratul Jannah,zahratuljannah
Zulkifli Hasan,zul.hasan
Zoe Abbas Jackson,zoeabbasjackson
Zulfa Maharani,zulfamaharani
Zivanna Letisha,Not Found
Zacky Zimah,p/BbZnaD8gY8A
Zainal Abidin,ustadzainalabidin
Zhavanya Meidi,zhavanyameidi
Nikita Mirzani,nikitamirzanimawardi_17
Nikita Willy,nikitawillyofficial94
Nina Zatulini,ninazatulini22
Nino Fernandez,ninojkt
Nirina Zubir,nirinazubir_
Novita Angie,novitaangie
Nycta Gina,missnyctagina
Nowela Elizabeth Auparay ,mikhelia
Natasha Rizky,natasharizkynew
Natasha Wilona,natashawilona12
Nasrullah (Mat Solar),p/BnyJE_2HHi8
Nani Widjaja,naniwidjaja888
Nuri Maulida,nurimaulida
Nurul Arifin,na_nurularifin
Nury Zhafira,p/BeoierhFtwr
Nycta Gina,missnyctagina
Nabila Gardena,nabilagardena
Nisma Bahanan,nismabahanan
Nisya Saadia Ifat,nissyaa
Nadiem Makariem,gnfi/p/Bb9dJ6ehbRF
Nina Zatulini,ninazatulini22
Nimaz Dewantary,nimazdewantary
Nila Moeloek,p/BvQj0tEB393
Novel Baswedan,explore/tags/novelbaswedan
Neno Warisman,nenowarismanofficial
Nora Alexandra,ncdpapl
Nitya Shamdasani,nshamdasani
Nabiela Piguna,nabiellas
Nikita Mirzani,nikitamirzanimawardi_17
Nikita Willy,nikitawillyofficial94
Nina Zatulini,ninazatulini22
Nino Fernandez,ninojkt
Nirina Zubir,nirinazubir_
